temperature,humidity,weather_type,season,upper_wear,lower_wear,footwear,accessories
-0.5,70,snowy,winter,Parka + Thermal layer,Wool trousers,Insulated boots,Gloves + Beanie
4.1,63,snowy,winter,Insulated puffer jacket,Wool trousers,Waterproof winter boots,Gloves + Beanie
15.4,30,sunny,spring,Oxford shirt + Light jacket,Chinos,Sneakers,Minimal bracelet
0.9,55,cloudy,winter,Puffer jacket,Chinos,High-top sneakers,Beanie
10.6,68,cloudy,winter,Wool sweater + Overcoat,Tailored joggers,Sneakers,Watch
25.8,66,windy,spring,Cotton T-shirt,Jeans,Loafers,None
29.7,48,sunny,summer,Breathable T-shirt,Light chinos,Canvas sneakers,Cap
16.1,100,rainy,spring,Waterproof shell jacket,Tailored joggers,Waterproof sneakers,Umbrella + Cap
11.4,80,cloudy,fall,Oxford shirt + Light jacket,Chinos,Chukka boots,Minimal bracelet
18.3,36,windy,fall,Bomber jacket,Chinos,Canvas shoes,Watch
14.4,74,misty,fall,Light trench coat,Tailored joggers,Loafers,Watch
-2.8,85,snowy,winter,Parka + Thermal layer,Wool trousers,Insulated boots,Beanie + Thermal socks
4.7,34,sunny,winter,Wool sweater + Overcoat,Dark jeans,High-top sneakers,Leather gloves
19.6,72,cloudy,fall,Polo shirt,Tailored trousers,Sneakers,Cap
22.2,86,rainy,spring,Waterproof shell jacket,Tailored trousers,Waterproof sneakers,Umbrella + Cap
27.9,45,sunny,summer,Breathable T-shirt,Chino shorts,Canvas sneakers,Sunglasses
17.6,86,rainy,spring,Waterproof shell jacket,Tailored joggers,Rubber-soled boots,Water-resistant watch
16.4,49,sunny,spring,Oxford shirt + Light jacket,Slim jeans,Chukka boots,Minimal bracelet
-4.7,63,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Insulated boots,Gloves + Beanie
-4.6,40,windy,winter,Turtleneck + Jacket,Thermal-lined jeans,Leather boots,Watch
15.6,60,cloudy,fall,Long-sleeve Henley,Chinos,Chukka boots,Minimal bracelet
31.5,72,cloudy,summer,Breathable T-shirt,Chino shorts,Slip-on loafers,None
-2.2,77,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
